Name,Postal Code,Area size,Population size,Population density,Senior Population,Young Population,Male Population,White Population,Africa-American Population,Hispanic population,Internet access,High school degree,Bachelor degrees,Median household income,Poverty rate,Uninsured,Household size,House Owner,hospital,hospital bed,ICU bed,ventilator usage,Nurses,Medical Doctors,Confirmed,Deaths,Recovered,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,deaths_per_population,recovered_per_population,confirmed_per_population,active_per_population,unemp_year_rate
Pennsylvania,PA,119280,12801989,107.32720490000001,18.7,17.0,49.0,81.9,12.9,7.8,85.9,9.0,19.5,63463,12.0,5.8,2.54,68.4,242,42945,3929,984,225852,188999,645390,15947,429017.0,200426.0,5041.326000202,3905454.0,2.47090906273726,30506.618932417456,0.0012456658102112102,0.03351174571388868,0.05041326000202,0.01565584847792011,9.17
Rhode Island,RI,4001,1059361,264.7740565,17.7,15.7,48.8,82.0,9.6,16.3,87.8,10.7,20.9,71169,10.8,4.1,2.69,61.7,15,3413,375,64,25014,18028,87949,1777,5381.0,80791.0,8302.080216281325,1974498.0,2.020489147119353,186385.75518638128,0.001677426297551071,0.005079477156512275,0.08302080216281324,0.0762638987087499,8.66
South Carolina,SC,82933,5148714,62.08281384,18.2,17.9,48.3,68.8,28.0,5.8,82.9,11.7,18.4,56227,13.8,10.8,2.58,70.3,91,15398,1253,385,71392,54827,307507,5296,151084.0,151127.0,5972.501094448051,3173021.0,1.7222372173641576,61627.44716447641,0.0010286063665606597,0.02934402648894462,0.0597250109444805,0.02935237808897523,9.65
South Dakota,SD,199729,884659,4.429296697,17.4,20.5,50.8,86.7,3.0,3.7,85.2,7.9,20.6,59533,11.9,10.2,2.54,67.8,63,3232,392,90,18473,11874,99164,1488,91980.0,5696.0,11209.290811487816,372640.0,1.5005445524585534,42122.444919454836,0.001682004026410176,0.10397226501962903,0.11209290811487817,0.006438639068838954,6.29
Tennessee,TN,109153,6829174,62.56515167,16.7,18.4,48.7,79.3,18.0,5.7,83.1,12.0,18.0,56071,13.9,10.1,2.59,66.5,146,22849,2364,508,104780,80804,586802,6907,508914.0,70981.0,8592.576496074049,5644058.0,1.1770580195704854,82646.27610894085,0.001011396107347682,0.07452057891627889,0.08592576496074049,0.010393789937113918,5.23
Texas,TX,695662,28995881,41.68099019,12.9,21.2,49.6,75.9,13.5,39.7,86.4,15.4,20.0,64034,13.6,18.4,2.99,61.9,627,81911,8719,1921,336520,271565,1772784,28066,1429356.0,315362.0,6091.579007376945,13742979.0,1.582057932171474,47396.31466965946,0.000967930582967974,0.04929513954068166,0.061139166628529064,0.010876096504879435,7.48
Utah,UT,219882,3205958,14.58035674,11.4,24.0,50.2,90.2,1.9,14.4,91.1,7.0,23.4,75780,8.9,9.7,3.26,70.6,62,6791,716,112,35931,41107,276612,1269,224439.0,50904.0,8628.060629615236,2245303.0,0.4587653464057959,70035.32173534401,0.0003958255223555642,0.07000684350824309,0.08628060629615235,0.0158779372655537,7.69
Vermont,VT,24906,623989,25.05376215,20.1,14.8,49.5,96.2,2.1,2.0,84.1,6.9,22.7,63001,10.2,4.5,2.41,70.9,17,1706,151,41,16991,10419,7412,136,4959.0,2317.0,1187.8414523332942,697705.0,1.834862385321101,111813.66979225595,0.0002179525600611549,0.007947255480465201,0.011878414523332943,0.003713206482806588,4.89
Virginia,VA,110787,8535519,77.04440954,15.9,18.2,49.2,70.2,21.3,9.7,86.9,10.0,22.4,76456,9.9,7.9,2.69,66.1,124,21910,2022,563,107495,91529,349584,5032,30707.0,313845.0,4095.6384725990297,4255991.0,1.439425145315575,49862.12320539618,0.0005895365003580919,0.0035975551105914003,0.0409563847259903,0.036769293115040805,6.12
Washington,WA,184661,7614893,41.23714807,15.9,18.3,50.0,79.5,5.6,13.0,91.4,8.3,22.8,78687,9.8,6.6,2.66,63.1,116,17686,1685,437,105526,136895,246752,3461,0.0,243291.0,3240.3869627583736,3805390.0,1.402622876410323,49972.99371113948,0.000454504088238666,0.0,0.03240386962758374,0.03194936553934507,6.0
West Virginia,WV,62756,1792147,28.55738097,20.5,16.5,49.4,94.7,4.8,1.5,81.4,12.9,12.6,48850,16.0,6.7,2.45,73.4,64,7501,677,272,31473,20575,85334,1338,59508.0,24488.0,4761.551368275035,1514520.0,1.567956500339841,84508.69264630637,0.0007465905419588906,0.033204865449095414,0.047615513682750354,0.01366405769169605,8.33
Wisconsin,WI,169635,5822434,34.32330592,17.5,17.8,49.7,87.4,7.5,7.1,86.5,7.2,20.7,64168,10.4,5.7,2.51,67.2,150,18066,1586,400,105898,85009,520438,5242,447500.0,67696.0,8938.495481442984,5348488.0,1.0072285267409375,91860.00219152334,0.0009003107635054343,0.07685789139043912,0.08938495481442985,0.011626752660485289,8.48
Wyoming,WY,253335,578759,2.28455997,17.1,19.4,51.1,93.4,2.1,10.1,88.1,5.5,18.8,65003,10.1,12.3,2.5,71.9,32,1971,165,57,9213,10188,44409,438,42570.0,1401.0,7673.142015934093,501784.0,0.9862865635344188,86699.99084247503,0.0007567916870407199,0.07355393177471106,0.07673142015934094,0.0024206966975891518,6.67
